images,masks
SN3_roads_train_AOI_5_Khartoum_MS_img436.tif,SN3_roads_train_AOI_5_Khartoum_mask_img436.npy
SN3_roads_train_AOI_2_Vegas_MS_img1250.tif,SN3_roads_train_AOI_2_Vegas_mask_img1250.npy
SN3_roads_train_AOI_3_Paris_MS_img174.tif,SN3_roads_train_AOI_3_Paris_mask_img174.npy
SN3_roads_train_AOI_5_Khartoum_MS_img378.tif,SN3_roads_train_AOI_5_Khartoum_mask_img378.npy
SN3_roads_train_AOI_2_Vegas_MS_img5.tif,SN3_roads_train_AOI_2_Vegas_mask_img5.npy
SN3_roads_train_AOI_5_Khartoum_MS_img173.tif,SN3_roads_train_AOI_5_Khartoum_mask_img173.npy
SN3_roads_train_AOI_4_Shanghai_MS_img910.tif,SN3_roads_train_AOI_4_Shanghai_mask_img910.npy
SN3_roads_train_AOI_5_Khartoum_MS_img166.tif,SN3_roads_train_AOI_5_Khartoum_mask_img166.npy
SN3_roads_train_AOI_5_Khartoum_MS_img394.tif,SN3_roads_train_AOI_5_Khartoum_mask_img394.npy
SN3_roads_train_AOI_4_Shanghai_MS_img826.tif,SN3_roads_train_AOI_4_Shanghai_mask_img826.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1629.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1629.npy
SN3_roads_train_AOI_4_Shanghai_MS_img629.tif,SN3_roads_train_AOI_4_Shanghai_mask_img629.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1681.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1681.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1304.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1304.npy
SN3_roads_train_AOI_4_Shanghai_MS_img307.tif,SN3_roads_train_AOI_4_Shanghai_mask_img307.npy
SN3_roads_train_AOI_2_Vegas_MS_img116.tif,SN3_roads_train_AOI_2_Vegas_mask_img116.npy
SN3_roads_train_AOI_2_Vegas_MS_img380.tif,SN3_roads_train_AOI_2_Vegas_mask_img380.npy
SN3_roads_train_AOI_2_Vegas_MS_img133.tif,SN3_roads_train_AOI_2_Vegas_mask_img133.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1128.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1128.npy
SN3_roads_train_AOI_2_Vegas_MS_img961.tif,SN3_roads_train_AOI_2_Vegas_mask_img961.npy
SN3_roads_train_AOI_5_Khartoum_MS_img434.tif,SN3_roads_train_AOI_5_Khartoum_mask_img434.npy
SN3_roads_train_AOI_2_Vegas_MS_img716.tif,SN3_roads_train_AOI_2_Vegas_mask_img716.npy
SN3_roads_train_AOI_2_Vegas_MS_img1251.tif,SN3_roads_train_AOI_2_Vegas_mask_img1251.npy
SN3_roads_train_AOI_4_Shanghai_MS_img728.tif,SN3_roads_train_AOI_4_Shanghai_mask_img728.npy
SN3_roads_train_AOI_5_Khartoum_MS_img116.tif,SN3_roads_train_AOI_5_Khartoum_mask_img116.npy
SN3_roads_train_AOI_2_Vegas_MS_img739.tif,SN3_roads_train_AOI_2_Vegas_mask_img739.npy
SN3_roads_train_AOI_2_Vegas_MS_img1097.tif,SN3_roads_train_AOI_2_Vegas_mask_img1097.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1975.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1975.npy
SN3_roads_train_AOI_4_Shanghai_MS_img492.tif,SN3_roads_train_AOI_4_Shanghai_mask_img492.npy
SN3_roads_train_AOI_2_Vegas_MS_img477.tif,SN3_roads_train_AOI_2_Vegas_mask_img477.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1342.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1342.npy
SN3_roads_train_AOI_2_Vegas_MS_img792.tif,SN3_roads_train_AOI_2_Vegas_mask_img792.npy
SN3_roads_train_AOI_2_Vegas_MS_img1313.tif,SN3_roads_train_AOI_2_Vegas_mask_img1313.npy
SN3_roads_train_AOI_4_Shanghai_MS_img344.tif,SN3_roads_train_AOI_4_Shanghai_mask_img344.npy
SN3_roads_train_AOI_2_Vegas_MS_img206.tif,SN3_roads_train_AOI_2_Vegas_mask_img206.npy
SN3_roads_train_AOI_5_Khartoum_MS_img288.tif,SN3_roads_train_AOI_5_Khartoum_mask_img288.npy
SN3_roads_train_AOI_2_Vegas_MS_img845.tif,SN3_roads_train_AOI_2_Vegas_mask_img845.npy
SN3_roads_train_AOI_2_Vegas_MS_img119.tif,SN3_roads_train_AOI_2_Vegas_mask_img119.npy
SN3_roads_train_AOI_2_Vegas_MS_img184.tif,SN3_roads_train_AOI_2_Vegas_mask_img184.npy
SN3_roads_train_AOI_2_Vegas_MS_img406.tif,SN3_roads_train_AOI_2_Vegas_mask_img406.npy
SN3_roads_train_AOI_4_Shanghai_MS_img144.tif,SN3_roads_train_AOI_4_Shanghai_mask_img144.npy
SN3_roads_train_AOI_2_Vegas_MS_img847.tif,SN3_roads_train_AOI_2_Vegas_mask_img847.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1852.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1852.npy
SN3_roads_train_AOI_5_Khartoum_MS_img456.tif,SN3_roads_train_AOI_5_Khartoum_mask_img456.npy
SN3_roads_train_AOI_2_Vegas_MS_img1570.tif,SN3_roads_train_AOI_2_Vegas_mask_img1570.npy
SN3_roads_train_AOI_2_Vegas_MS_img121.tif,SN3_roads_train_AOI_2_Vegas_mask_img121.npy
SN3_roads_train_AOI_2_Vegas_MS_img967.tif,SN3_roads_train_AOI_2_Vegas_mask_img967.npy
SN3_roads_train_AOI_2_Vegas_MS_img341.tif,SN3_roads_train_AOI_2_Vegas_mask_img341.npy
SN3_roads_train_AOI_4_Shanghai_MS_img401.tif,SN3_roads_train_AOI_4_Shanghai_mask_img401.npy
SN3_roads_train_AOI_2_Vegas_MS_img1386.tif,SN3_roads_train_AOI_2_Vegas_mask_img1386.npy
SN3_roads_train_AOI_2_Vegas_MS_img90.tif,SN3_roads_train_AOI_2_Vegas_mask_img90.npy
SN3_roads_train_AOI_4_Shanghai_MS_img404.tif,SN3_roads_train_AOI_4_Shanghai_mask_img404.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1675.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1675.npy
SN3_roads_train_AOI_2_Vegas_MS_img497.tif,SN3_roads_train_AOI_2_Vegas_mask_img497.npy
SN3_roads_train_AOI_4_Shanghai_MS_img109.tif,SN3_roads_train_AOI_4_Shanghai_mask_img109.npy
SN3_roads_train_AOI_3_Paris_MS_img417.tif,SN3_roads_train_AOI_3_Paris_mask_img417.npy
SN3_roads_train_AOI_2_Vegas_MS_img1116.tif,SN3_roads_train_AOI_2_Vegas_mask_img1116.npy
SN3_roads_train_AOI_5_Khartoum_MS_img377.tif,SN3_roads_train_AOI_5_Khartoum_mask_img377.npy
SN3_roads_train_AOI_4_Shanghai_MS_img708.tif,SN3_roads_train_AOI_4_Shanghai_mask_img708.npy
SN3_roads_train_AOI_4_Shanghai_MS_img60.tif,SN3_roads_train_AOI_4_Shanghai_mask_img60.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1536.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1536.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1024.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1024.npy
SN3_roads_train_AOI_2_Vegas_MS_img750.tif,SN3_roads_train_AOI_2_Vegas_mask_img750.npy
SN3_roads_train_AOI_4_Shanghai_MS_img1090.tif,SN3_roads_train_AOI_4_Shanghai_mask_img1090.npy
SN3_roads_train_AOI_4_Shanghai_MS_img666.tif,SN3_roads_train_AOI_4_Shanghai_mask_img666.npy
SN3_roads_train_AOI_5_Khartoum_MS_img438.tif,SN3_roads_train_AOI_5_Khartoum_mask_img438.npy
SN3_roads_train_AOI_5_Khartoum_MS_img337.tif,SN3_roads_train_AOI_5_Khartoum_mask_img337.npy
